Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,JanEraMean,JanEraMean_Source,FebEraMean,FebEraMean_Source,MarEraMean,MarEraMean_Source,AprEraMean,AprEraMean_Source,MayEraMean,MayEraMean_Source,JunEraMean,JunEraMean_Source,JulEraMean,JulEraMean_Source,AugEraMean,AugEraMean_Source,SepEraMean,SepEraMean_Source,OctEraMean,OctEraMean_Source,NovEraMean,NovEraMean_Source,DecEraMean,DecEraMean_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI,JanEraMean_Prophet,JanEraMean_Lower_CI,JanEraMean_Upper_CI,FebEraMean_Prophet,FebEraMean_Lower_CI,FebEraMean_Upper_CI,MarEraMean_Prophet,MarEraMean_Lower_CI,MarEraMean_Upper_CI,AprEraMean_Prophet,AprEraMean_Lower_CI,AprEraMean_Upper_CI,MayEraMean_Prophet,MayEraMean_Lower_CI,MayEraMean_Upper_CI,JunEraMean_Prophet,JunEraMean_Lower_CI,JunEraMean_Upper_CI,JulEraMean_Prophet,JulEraMean_Lower_CI,JulEraMean_Upper_CI,AugEraMean_Prophet,AugEraMean_Lower_CI,AugEraMean_Upper_CI,SepEraMean_Prophet,SepEraMean_Lower_CI,SepEraMean_Upper_CI,OctEraMean_Prophet,OctEraMean_Lower_CI,OctEraMean_Upper_CI,NovEraMean_Prophet,NovEraMean_Lower_CI,NovEraMean_Upper_CI,DecEraMean_Prophet,DecEraMean_Lower_CI,DecEraMean_Upper_CI
2025,Thailand,526351722440.87976,VAR_Forecast,7284.222141703261,VAR_Forecast,32.95179948078116,VAR_Forecast,25.495515779435475,VAR_Forecast,1.3121005613250212,VAR_Forecast,72054563.16674551,VAR_Forecast,53.77139372831532,VAR_Forecast,-0.0487157125061998,VAR_Forecast,1918.680073798844,VAR_Forecast,2452.091840205588,VAR_Forecast,99.9,VAR_Forecast,79.93790565715241,VAR_Forecast,97.0321829359367,VAR_Forecast,180.87430695103956,VAR_Forecast,31.114037484832423,VAR_Forecast,3.7130816829457896,VAR_Forecast,6.033420815289028,VAR_Forecast,219.60394189844308,VAR_Forecast,23.32152352570853,VAR_Forecast,24.86445747621192,VAR_Forecast,26.917125270008484,VAR_Forecast,28.29436390098285,VAR_Forecast,28.75553271695052,VAR_Forecast,27.74422499357663,VAR_Forecast,27.71031839234864,VAR_Forecast,27.51918668133365,VAR_Forecast,27.001503991039527,VAR_Forecast,26.33200687436627,VAR_Forecast,25.377577539314053,VAR_Forecast,24.392664388303636,VAR_Forecast,587196122788.7484,558187551531.5918,616351377076.2677,8434.155857808217,8146.036229491247,8736.860710081242,31.477619647779463,30.4652324760118,32.519326488831084,25.27902354337836,23.838218776149905,26.680015683904383,-0.3997877376431716,-1.560198916343699,0.7666458431402019,-0.0888502766297143,-0.1452709147068967,-0.0314450038887055,1967.684896191654,1918.500723572461,2014.0429020631443,2492.059473329004,2456.145437424949,2528.3338740361296,99.9,99.9,99.9,79.87794649440252,79.0755636277251,80.59083777710195,32.015438109547034,30.064864338336758,33.76828642179366,3.7729302409626415,3.6936023395153703,3.85044071375696,6.322374014898303,6.2372319538780525,6.400130625306625,232.3440442964421,228.11666228395444,236.6953202553224,25.710525951239088,24.53667893154693,26.77658719269065,23.50452115203928,22.661659330017915,24.429859184257182,29.23156918963285,28.363136435939797,30.169976279963084,29.463499785107285,28.34031000721104,30.655548167928057,29.464011796582,28.541122002436964,30.458603595307245,26.33299760370589,25.926510515844196,26.75043418339323,27.08294418283695,26.79201309882263,27.373567986608315,27.56374246879521,26.736355053462823,28.33691864027964,27.377959164072017,25.26650560512721,29.34311978179874,26.52190264011667,26.01266694741132,27.0327853304316,25.77778668044552,24.98883336929724,26.58868336738644,22.200375361739216,21.067601574336564,23.380512891326443
2026,Thailand,565332171186.4634,VAR_Forecast,7790.60089661568,VAR_Forecast,33.088913535832674,VAR_Forecast,25.564206538089355,VAR_Forecast,3.0774021640039604,VAR_Forecast,72083448.62152606,VAR_Forecast,54.11537654186515,VAR_Forecast,-0.1078671099595713,VAR_Forecast,1935.0915058336195,VAR_Forecast,2500.410038888784,VAR_Forecast,100.0,VAR_Forecast,79.94592232222237,VAR_Forecast,99.86268688650392,VAR_Forecast,184.0105044178133,VAR_Forecast,30.09588681437308,VAR_Forecast,3.9462067867220423,VAR_Forecast,6.169617246987342,VAR_Forecast,228.6916520882347,VAR_Forecast,25.524688220020096,VAR_Forecast,25.85028769403075,VAR_Forecast,28.385872335740057,VAR_Forecast,28.62130373633625,VAR_Forecast,28.16705493912212,VAR_Forecast,28.401320277828415,VAR_Forecast,27.874042594268644,VAR_Forecast,27.27737532915409,VAR_Forecast,26.869257081467115,VAR_Forecast,26.869802230112725,VAR_Forecast,26.6456338745915,VAR_Forecast,23.36858185633736,VAR_Forecast,599895984379.3628,571325569033.1456,626544224515.7919,8809.180993729518,8512.415113562378,9115.550977112494,30.8097668186936,29.82773425486185,31.755706278941645,24.95414165971129,23.539079582224144,26.36255202909848,-0.8966340927801846,-2.040873121573916,0.3205363131450013,-0.1351248505769253,-0.1959693616042109,-0.0782313319507397,1974.9617313575689,1926.939439206952,2023.6194793595564,2490.249089543648,2449.3995244711914,2531.8101717179543,99.9,99.9,99.9,79.91688850698131,78.40538861297318,81.36936487435638,32.73482972273819,30.806502305609605,34.58388359895873,3.74465064871544,3.643086139756405,3.842674261753401,6.400953474525769,6.300615951661879,6.505204154332766,235.7276822916231,231.151705727407,240.03852217028157,26.970947548071777,25.85584499429933,28.063303629780773,22.685670096506968,21.79141147177945,23.57016957058601,30.001299676860253,29.159178193082017,30.87414512751196,29.69350701283473,28.60830014385619,30.841880072329957,29.587299562606024,28.676248885452612,30.51057291727973,24.98586857656944,24.57666004836943,25.381325617454088,26.316431811923508,26.010490351223023,26.616184107379443,27.550265730465547,25.91002912084516,29.050459681978143,27.482166593607204,23.491905750151854,31.17506411328288,26.527783108072896,26.07382176111676,26.99557082612174,25.36082291275056,24.486873683339724,26.16037430135256,20.74553742935917,19.596721699368477,21.91786147794897
2027,Thailand,538265500424.81104,VAR_Forecast,7622.899480262724,VAR_Forecast,31.729976486913397,VAR_Forecast,24.31916043957985,VAR_Forecast,0.1783136654612587,VAR_Forecast,72057497.79328772,VAR_Forecast,54.480566158705145,VAR_Forecast,-0.1544493003506172,VAR_Forecast,1910.712999975615,VAR_Forecast,2446.183020541745,VAR_Forecast,99.9,VAR_Forecast,80.24741956955765,VAR_Forecast,100.0,VAR_Forecast,175.8695993009571,VAR_Forecast,33.449551076418054,VAR_Forecast,3.785331375984037,VAR_Forecast,6.115625616261544,VAR_Forecast,222.5726221961868,VAR_Forecast,24.54240654345393,VAR_Forecast,26.14536611138464,VAR_Forecast,27.90647181042529,VAR_Forecast,28.91688937384889,VAR_Forecast,28.948951671227263,VAR_Forecast,28.156737224855476,VAR_Forecast,28.271155185050983,VAR_Forecast,27.51630738452456,VAR_Forecast,27.19511163236197,VAR_Forecast,25.69427207809513,VAR_Forecast,25.50744337385129,VAR_Forecast,24.45317378364339,VAR_Forecast,611613552462.5642,583098601720.8171,638624688633.9868,9214.57429162622,8914.257942528997,9479.66422786144,30.098174682925183,29.06833285271938,31.092987604514416,24.611897870995023,23.20090547030959,26.02217209586449,-1.3921194440804965,-2.581045724021762,-0.1770243991146286,-0.1813972425746214,-0.2380511381754783,-0.1233860807434861,1981.955505113405,1926.7276768017364,2031.812522047436,2486.46292247193,2437.421921675848,2531.859390416332,99.9,99.9,99.9,79.97522147406096,77.56572841708491,82.26385008952371,33.601986884867095,31.697839696415564,35.53972338018602,3.7095943149745576,3.5858935311755458,3.842824851697128,6.48866454332865,6.344913549668417,6.631568436392885,238.8793598551664,234.64511687382733,243.22088662816168,28.51213278444904,27.34227436628203,29.551433752786643,21.7459990133613,20.83298149740417,22.64428939093345,30.940317896642654,30.021049114045425,31.84224966000466,29.950093176179568,28.89069268859968,31.098218359709666,29.70398575440265,28.684669534740888,30.663172375905223,23.302044649951217,22.897391832498244,23.687072900895004,25.32143111792145,25.006274872825184,25.613656452534936,27.520146780053317,24.842354975974143,29.76332068798509,27.569122289153565,21.355789713912067,33.606912498801215,26.533017603284,26.07937146771516,26.99819779517498,24.80340120070276,23.99725033827393,25.60613392425885,18.884210404186017,17.762437305747845,20.04291937390108
2028,Thailand,572343600511.7974,VAR_Forecast,7947.204786937196,VAR_Forecast,33.35891145393665,VAR_Forecast,26.045706820484885,VAR_Forecast,3.127206567861184,VAR_Forecast,72129899.58501016,VAR_Forecast,54.76220138840492,VAR_Forecast,-0.156601557419436,VAR_Forecast,1949.121543206932,VAR_Forecast,2515.279210050563,VAR_Forecast,99.9085562076443,VAR_Forecast,79.95895524973663,VAR_Forecast,100.0,VAR_Forecast,180.26498757771236,VAR_Forecast,32.0546892705062,VAR_Forecast,3.856550764129008,VAR_Forecast,6.126032880846665,VAR_Forecast,230.36876735804847,VAR_Forecast,24.703836767712477,VAR_Forecast,25.28698045281136,VAR_Forecast,29.134733217788604,VAR_Forecast,29.21804049087408,VAR_Forecast,29.19792757611528,VAR_Forecast,28.63668989679596,VAR_Forecast,28.15988412784584,VAR_Forecast,27.6331560492457,VAR_Forecast,26.807132045594543,VAR_Forecast,26.614525038203112,VAR_Forecast,25.721716282211883,VAR_Forecast,22.95151363913192,VAR_Forecast,628614063978.6581,599092473593.8898,656766355894.3097,8989.766695863967,8678.13808655957,9299.312231034108,30.53196586078817,29.51674083435659,31.51874982918625,24.895801690232403,23.43990189527637,26.31056668428748,-0.3350478674163888,-1.4421899759194088,0.8376005733066104,-0.2270205546305881,-0.2836878483561326,-0.1690041974007707,1983.1876014640409,1929.825954687046,2038.2276530916608,2499.151766569081,2438.9250636467305,2552.39018317448,99.9,99.9,100.0,79.87987038559272,76.49184365259521,83.20437497820109,32.1912621588929,29.96084738938988,34.121297018135934,3.735581688305598,3.569622213999973,3.91863719890777,6.369643654446724,6.195770746212152,6.5509214382705245,243.63545918176936,239.3109976214655,248.1590420488297,24.76481864102021,23.60951461830048,25.80551162744165,24.15891885505036,23.20714945697928,25.029108227515948,28.81395447343871,27.879427499427617,29.6140162874737,29.30177513350017,28.207109334798307,30.398185245066923,29.59219833409959,28.642969055654294,30.49804838141179,27.46442846658373,27.03984112684809,27.86252178717761,28.007247977913952,27.68824199879478,28.32698588593521,27.84518452975907,24.014576162147613,31.0517468743128,26.98924357424385,18.737524269130347,35.343905776574765,26.563442690758016,26.08051919455982,27.04707939612125,26.30518853678209,25.510856795035348,27.174544220223904,23.312394822138504,22.168991681885625,24.412259162585357
2029,Thailand,517372298522.9528,VAR_Forecast,7697.604261121165,VAR_Forecast,32.72396027460528,VAR_Forecast,25.35707095066905,VAR_Forecast,0.7869285843230858,VAR_Forecast,72082550.07685296,VAR_Forecast,54.98709699910177,VAR_Forecast,-0.2102043956480668,VAR_Forecast,1877.4972060928644,VAR_Forecast,2391.20612021348,VAR_Forecast,99.9,VAR_Forecast,80.11152061536167,VAR_Forecast,100.0,VAR_Forecast,174.0114553964988,VAR_Forecast,32.25061448062901,VAR_Forecast,3.7090627458528407,VAR_Forecast,6.0422587171740405,VAR_Forecast,217.47490533672996,VAR_Forecast,23.909436415052635,VAR_Forecast,24.77581276483143,VAR_Forecast,27.289306679287535,VAR_Forecast,26.589741355533533,VAR_Forecast,27.015895355348096,VAR_Forecast,27.686100841623023,VAR_Forecast,27.86242633671529,VAR_Forecast,27.54637138095887,VAR_Forecast,26.94338682709079,VAR_Forecast,25.337838091712065,VAR_Forecast,25.542336145503825,VAR_Forecast,23.197644579162763,VAR_Forecast,642299280309.0203,613035015291.6997,671857134841.5175,9334.179794992328,9066.78040245785,9621.177430387512,29.90823067228669,28.904030000413304,31.035444641100373,24.58848047473145,23.15663258381005,26.02759414241548,-0.8327831715600985,-1.9351727972812305,0.3994335917061125,-0.273297082309951,-0.334554942633062,-0.2148621496805503,1990.7457494595224,1931.908902378456,2047.3338550273863,2499.3237261637205,2426.58553126877,2566.781241357813,99.9,99.9,100.0,79.903253609166,75.39976891474842,84.28974446733704,32.76192002077208,30.308558795966345,34.936645614480945,3.714105521895352,3.5005591728684906,3.952562700954849,6.439015242683638,6.203737105923565,6.664303885779794,247.25170592343775,242.82124662979837,251.77614054961555,25.7439709072462,24.59514412639957,26.760935157825347,23.463393338548315,22.572334135775737,24.319295806638653,29.41764037225896,28.523939094714112,30.292191894349823,29.505129616756008,28.395854231282076,30.602405266992587,29.722505610298228,28.705065013432115,30.643226674026444,26.4504757269462,26.050457711804352,26.85858830684456,27.45951589054265,27.15539681018494,27.78650834105115,27.847620555790325,22.77489894741868,32.217253020779424,27.10875683766675,16.113984822161992,38.28995532084529,26.569835925253848,26.09372071211923,27.0618860732312,26.025437048183356,25.186730505459387,26.854519746289352,22.262967278500497,21.070811690627306,23.466830221185965
2030,Thailand,551145488198.235,VAR_Forecast,7926.7123712932125,VAR_Forecast,33.11735973146125,VAR_Forecast,25.58041406122412,VAR_Forecast,3.397795462207439,VAR_Forecast,72063582.81093702,VAR_Forecast,55.58740070191352,VAR_Forecast,-0.2540747548445193,VAR_Forecast,1905.082401315584,VAR_Forecast,2472.887562785577,VAR_Forecast,99.9,VAR_Forecast,79.74564377252534,VAR_Forecast,100.0,VAR_Forecast,182.94966398474168,VAR_Forecast,33.682500906527274,VAR_Forecast,3.75388581658113,VAR_Forecast,6.104217140760128,VAR_Forecast,236.6897735310201,VAR_Forecast,23.64669541596519,VAR_Forecast,25.651655253234598,VAR_Forecast,28.7426156164688,VAR_Forecast,30.545361643913925,VAR_Forecast,29.881278124514395,VAR_Forecast,28.690131065809357,VAR_Forecast,28.41606782266578,VAR_Forecast,27.857278885616708,VAR_Forecast,26.82802362180674,VAR_Forecast,27.374718046957778,VAR_Forecast,25.93649503612845,VAR_Forecast,25.341379622766897,VAR_Forecast,654999141899.624,625055005779.7104,685249766753.7213,9709.204930912712,9402.73389050951,10013.04667968862,29.240377843203326,28.22188864721584,30.40755639792656,24.2635985910659,22.87140891798173,25.593765857277464,-1.329629526692707,-2.4773640187670307,-0.153473154125096,-0.3195716562571591,-0.3783595438852153,-0.2608945628954984,1998.022584625418,1927.4020601839984,2056.783114998945,2497.5133423783755,2412.2061749002123,2575.4243910617374,99.9,99.9,99.9,79.94219562167218,74.17992460920244,85.4214111722394,33.48131163396128,31.008294037050263,35.77868056639042,3.6858259296481695,3.3928082036262746,3.969626009550511,6.517594702310763,6.219490087550674,6.807717173226176,250.63534391861927,246.24547562293597,255.7251369312588,27.00602069676835,25.884739255816545,28.11118304030916,22.64595773463295,21.730354908749245,23.482985706788767,30.19196730431291,29.31198648763843,31.04999348010685,29.735447023927744,28.6434284957354,30.887879227948435,29.846307311974,28.85898434751704,30.80779810380437,25.097212719961465,24.6950224871246,25.49451821233335,26.681078954758085,26.376574909454632,27.009011562717564,27.83327683917621,21.4587778379805,33.31295520439739,27.21127416233246,13.071333768063898,41.66479386299197,26.575705383261894,26.09119083378381,27.068386494847974,25.603884078225104,24.86104687529553,26.476144422645376,20.80398639469015,19.6924596344639,21.973814900577395
2031,Thailand,537831924508.6537,VAR_Forecast,7724.174788590672,VAR_Forecast,32.443767545181984,VAR_Forecast,25.36279779194149,VAR_Forecast,1.2544124572495634,VAR_Forecast,72116855.26656368,VAR_Forecast,55.49598586818869,VAR_Forecast,-0.2490211868712107,VAR_Forecast,1902.535949406281,VAR_Forecast,2423.6150638516297,VAR_Forecast,100.0,VAR_Forecast,80.22812778020504,VAR_Forecast,100.0,VAR_Forecast,175.16452365334965,VAR_Forecast,30.67546901077701,VAR_Forecast,3.818916134880588,VAR_Forecast,6.1676909607747215,VAR_Forecast,224.7383967822838,VAR_Forecast,25.921610641524317,VAR_Forecast,25.621405015518366,VAR_Forecast,28.015371320091457,VAR_Forecast,28.01877007932009,VAR_Forecast,27.857613068066414,VAR_Forecast,28.353894974282703,VAR_Forecast,28.140164520908524,VAR_Forecast,27.59861938178543,VAR_Forecast,27.118965405825392,VAR_Forecast,25.07991650452789,VAR_Forecast,25.60556186555252,VAR_Forecast,21.748199954148976,VAR_Forecast,666716709982.7848,636489066016.7043,697623595472.3729,10114.598228812472,9797.807440502467,10422.337072836235,28.52878570742972,27.37140714340152,29.60515692057579,23.92135480234692,22.468198432898387,25.36902386278441,-1.8251148779989208,-3.008150197295387,-0.5751509946386982,-0.3658440482548581,-0.423288566458902,-0.3031881106880787,2005.016358381272,1936.907847882632,2071.5965606879536,2493.727175306558,2392.147804452828,2591.4691011479545,99.9,99.9,99.9,80.00052858875458,72.91151359493877,86.88722156870094,34.34846879610206,31.66617907304833,36.87595067950198,3.650769595906921,3.2978113706515835,3.979026554643857,6.605305771114641,6.236652819955496,6.968380669134532,253.78702148215208,248.83574758624525,258.6732930177644,28.54919805607989,27.456337876058694,29.73988279448601,21.707914935519263,20.854334305004592,22.683520854068025,31.13664156705272,30.29637206445221,31.99709906704413,29.99238067554955,28.84660471931896,31.093353862575245,29.9634475321809,28.99980822191649,30.91948710677371,23.405769716530944,22.987175924720724,23.798013938681223,25.67108089922515,25.34722721161966,26.00676143689508,27.802124828959563,19.97758423676673,34.79857768063807,27.296701879048605,13.05,45.01550158310088,26.58092771203746,26.13224763140004,27.065373490733247,25.04055213786573,24.279999586449023,25.833404531870688,18.937377799787,17.77748210543647,20.025512780827764
2032,Thailand,551261224554.9944,VAR_Forecast,7829.001855029901,VAR_Forecast,32.37807398383707,VAR_Forecast,25.136387010659668,VAR_Forecast,1.658977939266701,VAR_Forecast,72144679.4029636,VAR_Forecast,55.74878980041528,VAR_Forecast,-0.2640016215752423,VAR_Forecast,1873.1820316910237,VAR_Forecast,2434.2585965004787,VAR_Forecast,99.9,VAR_Forecast,79.83087965279583,VAR_Forecast,100.0,VAR_Forecast,177.7051166645469,VAR_Forecast,32.746251421709495,VAR_Forecast,3.591594974603876,VAR_Forecast,6.008501881618195,VAR_Forecast,232.5702549258159,VAR_Forecast,23.07954937026404,VAR_Forecast,24.67095822474534,VAR_Forecast,27.170851338802333,VAR_Forecast,28.929708610146704,VAR_Forecast,29.2190764004134,VAR_Forecast,27.96466326272781,VAR_Forecast,28.2105350191797,VAR_Forecast,27.77467856449294,VAR_Forecast,27.000191911998986,VAR_Forecast,26.796703917210728,VAR_Forecast,25.54974893072201,VAR_Forecast,26.291556803937283,VAR_Forecast,683717221498.9331,652089597662.1144,712517482083.7048,9889.790633048173,9564.11041962866,10184.395269446206,28.962576885295316,27.74029860653687,30.11294976305777,24.205258621585426,22.75502793133998,25.65547487364276,-0.7680433013339079,-1.819922279522736,0.4789794730236622,-0.4114673603108246,-0.4688259691844207,-0.3537277656517937,2006.2484547319143,1934.736604784679,2078.4524308617,2506.4160194038054,2385.051713094781,2615.5385585002973,99.9,99.9,100.0,79.90517750028718,71.5137481115131,88.09295295391037,32.93774407011828,30.05687985767972,35.98204934967864,3.6767569692383257,3.2675523489650296,4.068396442437547,6.486284882232072,6.048090146988784,6.9221906297868685,258.5431208087663,253.66849047449875,264.1198114015009,24.797001989170408,23.72356040877421,25.9046071740242,24.116590425678027,23.188652659005207,24.9769615067537,28.996495701100603,28.046779290538023,29.8798711129932,29.34313262331317,28.18969870739359,30.496336884636907,29.85011927244353,28.8859578342384,30.807153140265864,27.586545498071416,27.20778798463365,27.95418409479961,28.39265154536488,28.05491210577483,28.751164110460973,28.12976253316887,18.831437611375968,36.641867232359445,26.72189134718933,13.05,47.95267181680694,26.61138605042992,26.174175667156103,27.04608063272705,26.556097422159542,25.711047170433336,27.398781748893448,23.377983253449028,22.190847281449155,24.493947112437244
2033,Thailand,585653848318.8911,VAR_Forecast,8248.510812215918,VAR_Forecast,32.75934659173411,VAR_Forecast,25.57220828210269,VAR_Forecast,4.142871491946265,VAR_Forecast,72157099.49820681,VAR_Forecast,55.601167545103,VAR_Forecast,-0.2739734399622401,VAR_Forecast,1927.3359427632447,VAR_Forecast,2459.337184484014,VAR_Forecast,100.0,VAR_Forecast,80.34136957956244,VAR_Forecast,100.0,VAR_Forecast,181.6762412034524,VAR_Forecast,31.264982680541078,VAR_Forecast,3.94569303716581,VAR_Forecast,6.243295645847232,VAR_Forecast,231.82961784840575,VAR_Forecast,26.57532162379272,VAR_Forecast,26.137276747006226,VAR_Forecast,28.40344571462845,VAR_Forecast,27.64375639079296,VAR_Forecast,27.2171050037811,VAR_Forecast,28.385086522820306,VAR_Forecast,27.90051762552233,VAR_Forecast,27.445026867082905,VAR_Forecast,26.683703912501787,VAR_Forecast,26.035039652853172,VAR_Forecast,26.32725093879958,VAR_Forecast,21.350427872440147,VAR_Forecast,697402437829.3079,664347866742.2144,729193423992.0648,10234.203732174046,9930.207889440231,10545.029187224674,28.338841696798177,27.11861321895718,29.63046994469085,23.897937406086918,22.39133373658085,25.33982744875891,-1.2657786054707612,-2.428994919561334,0.0011514664171945,-0.457743887990184,-0.5163891807301938,-0.3995068445164333,2013.8066027273649,1928.3955186622145,2095.021134734835,2506.587978998487,2370.12598944382,2638.5337563635667,99.9,99.9,100.0,79.92856072387175,70.18055210141652,89.54637536456546,33.508401931988566,30.195126066792135,36.559225816572166,3.655280802828264,3.1921877448507376,4.122862820504883,6.555656470468195,6.028054656461599,7.061441475724582,262.1593675504379,256.9873638445157,267.73525557237366,25.777415863233525,24.605744275226243,26.801058398576103,23.4222655250699,22.549449534102692,24.318904508501397,29.603711554874057,28.730883796590145,30.46614641505552,29.546759448401,28.443637293322567,30.65567957342385,29.98099942401329,29.01139820010799,30.987657922436064,26.567953850208,26.182272732145005,26.96141275847486,27.836087598261894,27.487302846936466,28.216521784141257,28.131498642786653,17.38460180565721,38.1286277722114,26.839554511258573,13.05,51.95148381194134,26.61776921039057,26.103665549158475,27.06019860097292,26.273087415929474,25.43493542768245,27.099893701271004,22.325559195285884,21.124548086763927,23.503292706538577
2034,Thailand,541885163803.63416,VAR_Forecast,7962.978599732858,VAR_Forecast,31.32264773016052,VAR_Forecast,23.94387840160044,VAR_Forecast,-0.3009302620280469,VAR_Forecast,72103040.06442997,VAR_Forecast,55.92901642259641,VAR_Forecast,-0.3139927105970579,VAR_Forecast,1875.7551893655143,VAR_Forecast,2407.03330441259,VAR_Forecast,99.9,VAR_Forecast,80.16385092713314,VAR_Forecast,100.0,VAR_Forecast,174.30670297128137,VAR_Forecast,36.05105569296758,VAR_Forecast,3.613699954242519,VAR_Forecast,6.068635180382107,VAR_Forecast,228.99776907803897,VAR_Forecast,23.596273093420898,VAR_Forecast,25.65074409537258,VAR_Forecast,27.40359773765852,VAR_Forecast,29.34517046028841,VAR_Forecast,29.142097175675275,VAR_Forecast,27.77566480685608,VAR_Forecast,28.45374112534048,VAR_Forecast,27.58936377486072,VAR_Forecast,27.041773675494504,VAR_Forecast,25.918807548240736,VAR_Forecast,25.247774718103653,VAR_Forecast,25.48202004913796,VAR_Forecast,710102299419.8916,676693189852.3318,743332632865.3705,10609.228868097996,10302.565163321053,10922.594142290389,27.6709888677078,26.32427438317599,29.09263728909648,23.57305552241745,22.19543121234439,25.124985457640346,-1.7626249606133242,-3.0635505040876767,-0.5192830456367747,-0.5040184619373975,-0.563950630388458,-0.4434273063265744,2021.0834378932975,1920.6367514404567,2112.041404062358,2504.777595213053,2346.4295728153397,2655.2529271150656,99.9,99.9,100.0,79.96750273638538,68.67624700743765,90.97338447786956,34.227793545189925,30.4811262171868,37.7020559722126,3.627001210580769,3.104277872039682,4.160064678400883,6.634235930096507,6.0494788060639895,7.214047416368213,265.54300554561104,259.2921503506877,271.4828387544238,27.0410938454824,25.956765932058865,28.192021220724403,22.606245372744677,21.66497087763075,23.42844902661871,30.382634931777684,29.498703687526454,31.29306335767925,29.777387035023366,28.593438080831454,30.844283746917892,30.105315061342363,29.124871303789096,31.0543635745926,25.20855686333398,24.831172424270424,25.59801487213369,27.04572609758077,26.687410800368863,27.44177758009504,28.11628794788476,15.765545890858403,39.77352800958225,26.940381731060903,13.05,56.196333709629606,26.623627658448232,26.133331960669384,27.095831069300164,25.846945243697107,24.993530423612903,26.591417561279236,20.86243536000761,19.681871401758265,22.00971236702278
